B,P,C,X,N,Time
5,1,1,0,1,10.232944
5,1,5,0,1,10.234695
5,5,1,0,1,2.086858
5,5,5,0,1,2.085525
10,1,1,0,1,10.247473
10,1,5,0,1,10.231325
10,1,10,0,1,10.245056
10,5,1,0,1,2.080388
10,5,5,0,1,2.091328
10,5,10,0,1,2.104657
10,10,1,0,1,1.079735
10,10,5,0,1,1.074029
10,10,10,0,1,1.083226
5,1,1,200,1,10.242302
5,1,5,200,1,10.237605
5,5,1,200,1,10.064172
5,5,5,200,1,2.290320
10,1,1,200,1,10.254619
10,1,5,200,1,10.240923
10,1,10,200,1,10.254452
10,5,1,200,1,10.060352
10,5,5,200,1,2.290225
10,5,10,200,1,2.291216
10,10,1,200,1,10.058592
10,10,5,200,1,2.253873
10,10,10,200,1,1.273700
5,1,1,400,1,19.854134
5,1,5,400,1,10.432023
5,5,1,400,1,19.856491
5,5,5,400,1,4.250275
10,1,1,400,1,19.855380
10,1,5,400,1,10.464812
10,1,10,400,1,10.450095
10,5,1,400,1,19.856629
10,5,5,400,1,4.251687
10,5,10,400,1,2.487984
10,10,1,400,1,19.858801
10,10,5,400,1,4.253904
10,10,10,400,1,2.254507
